Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
1292,Jabari Sandifer,WIU,27,32.6,4.1,4.7,1.8,0.1,0.1,2016
1293,Johnathan Bell,NSU,34,24.2,3.6,1.0,0.9,0.4,0.4,2016
1294,Detrick Mostella,UT,34,19.6,2.2,1.2,0.3,0.2,0.2,2016
1295,Aaron Falzon,NU,32,24.6,3.4,0.9,0.3,0.3,0.3,2016
1296,Luuk van Bree,BU,30,27.0,4.6,0.9,0.6,0.4,0.4,2016
1297,Jacob Evans,UC,33,24.4,4.1,1.6,0.8,0.8,0.8,2016
1298,Dorian Chatman,LU,29,19.9,3.9,0.9,0.5,1.2,1.2,2016
1299,Christian Jones,STJ,32,25.2,5.2,1.4,0.8,0.5,0.5,2016
1300,Connor Cashaw,RU,32,29.9,4.3,1.2,0.9,0.1,0.1,2016
1301,Nate Navigato,U of T,32,22.8,3.4,1.3,0.7,0.2,0.2,2016
1302,Tre Hale-Edmerson,CSUN,30,31.7,6.3,3.1,0.9,1.7,1.7,2016
1303,Lew Evans,USU,30,21.4,5.6,0.9,0.4,0.2,0.2,2016
1304,Dexter Werner,NDSU,33,22.1,6.7,0.8,0.8,0.9,0.9,2016
1305,Sam Jones,PENN,28,24.8,3.6,0.8,0.4,0.2,0.2,2016
1306,Sarp Gobeloglu,MSU,31,20.2,3.5,0.6,0.2,0.5,0.5,2016
1307,Kadeem Allen,U of A,34,24.9,3.1,3.6,1.0,0.8,0.8,2016
1308,Willie Atwood,ASU,32,27.1,4.3,1.4,0.5,0.3,0.3,2016
1309,Race Parsons,SUU,24,28.1,3.9,1.5,0.5,0.3,0.3,2016
1310,C.J. Bobbitt,UD,24,22.4,3.8,1.7,0.7,0.2,0.2,2016
1311,Jalen Hudson,VT,35,20.0,2.3,0.6,0.6,0.1,0.1,2016
1312,Kristinn Palsson,MAR,30,31.7,4.3,1.2,0.7,0.2,0.2,2016
1313,Lionheart Leslie,CSUF,29,24.8,3.1,1.8,1.0,0.0,0.0,2016
1314,Antonio Jenifer,SFC,32,24.4,6.2,1.0,0.6,0.7,0.7,2016
1315,Rasheed Brooks,UM,32,27.5,3.3,1.6,1.3,0.3,0.3,2016
1316,Marshall Plumlee,DUKE,36,30.5,8.6,1.1,0.8,1.6,1.6,2016
1317,Josh Brown,TEM,33,36.2,4.8,4.9,1.2,0.5,0.5,2016
1318,Franz Rassman,L-MD,30,24.3,4.8,0.7,0.5,0.8,0.8,2016
1319,Anthony Elechi,MSU,37,18.9,5.5,0.4,0.4,0.3,0.3,2016
1320,Rapheal Davis,PU,31,29.7,3.9,2.3,0.4,0.4,0.4,2016
1321,Antwoine Anderson,FORD,28,24.6,2.2,2.6,1.1,0.3,0.3,2016
1322,Jaron Martin,UCI,38,19.9,1.4,1.4,0.6,0.0,0.0,2016
1323,Mike Rowley,ALB,33,28.9,6.5,1.2,1.0,0.3,0.3,2016
1324,Jeremy Miller,NU,33,20.6,3.9,0.4,0.4,0.8,0.8,2016
1325,Phillip Anglade,VMI,30,25.6,5.4,0.5,0.8,1.6,1.6,2016
1326,Vasa Pusica,USD,30,26.3,4.0,2.5,0.7,0.1,0.1,2016
1327,Maverick Morgan,U of I,34,21.1,3.5,0.6,0.4,0.5,0.5,2016
1328,Manroop Clair,SEA,31,21.5,1.5,0.5,0.4,0.0,0.0,2016
1329,Kam Williams,OSU,35,21.9,1.8,0.8,0.7,0.1,0.1,2016
1330,Jerry Johnson,FU,28,19.1,2.7,1.4,0.8,0.1,0.1,2016
1331,Cullen Hamilton,HC,35,27.5,2.3,1.7,0.7,0.0,0.0,2016
1332,Anthony Lindauer,HP,32,25.9,3.0,2.0,1.1,0.2,0.2,2016
1333,Mike Rodriguez,SIU,32,28.6,2.0,2.9,1.2,0.1,0.1,2016
1334,Brandon Gfeller,UM,33,23.7,2.2,1.1,0.6,0.2,0.2,2016
1335,Jake Kretzer,AKR,34,25.0,4.1,1.3,0.6,0.1,0.1,2016
