Rank,Player,College,Games,Minitues Per Game,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Points Per Game,Year
165,Tyler Zeller,UNC,37,28.1,7.3,0.6,0.7,1.2,1.2,2011
166,Jeremy Hence,USMA,30,32.3,5.3,1.9,0.8,0.4,0.4,2011
167,Harrison Barnes,UNC,37,29.4,5.8,1.4,0.7,0.4,0.4,2011
168,Jamie Skeen,VCU,39,31.9,7.3,1.6,0.6,1.0,1.0,2011
169,Vernon Taylor,TU,27,31.7,5.0,2.1,1.1,0.1,0.1,2011
170,Terrence Jones,UK,38,31.5,8.8,1.6,1.1,1.9,1.9,2011
171,Rahmon Fletcher,UWGB,32,31.5,2.4,3.1,1.5,0.1,0.1,2011
172,Sergio Kerusch,WKU,32,31.0,7.9,0.5,0.4,0.4,0.4,2011
173,Amu Saaka,FU,33,31.6,6.5,1.1,0.7,0.3,0.3,2011
174,Corey Fisher,VILL,33,33.3,2.8,4.8,1.5,0.1,0.1,2011
175,Jontae Sherrod,ECU,34,29.9,3.7,1.9,1.1,0.1,0.1,2011
176,JaMychal Green,UA,34,27.9,7.6,1.4,1.4,2.1,2.1,2011
177,Quinn McDowell,W&M,32,33.7,5.4,2.1,0.5,0.1,0.1,2011
178,Devon Baker,NSU,32,27.3,2.4,2.0,1.5,0.0,0.0,2011
179,Kawhi Leonard,SDSU,36,32.6,10.7,2.5,1.4,0.6,0.6,2011
180,Chris De La Rosa,UMBC,30,35.8,3.9,6.0,1.0,0.0,0.0,2011
181,Nick Murphy,JSU,28,35.1,5.9,2.5,1.9,0.3,0.3,2011
182,Demonte Harper,MSU,35,33.7,5.0,3.4,1.5,0.3,0.3,2011
183,Tim Abromaitis,ND,34,34.2,6.1,1.8,0.8,0.4,0.4,2011
184,Tyrone Conley,UNH,30,35.0,3.4,2.1,1.3,0.8,0.8,2011
185,Justin Greene,KSU,37,32.6,8.3,1.6,1.1,1.4,1.4,2011
186,Anthony Nelson,NU,29,37.3,5.0,5.1,3.4,0.1,0.1,2011
187,Mike Williams,WCU,33,31.5,3.5,3.8,2.0,0.2,0.2,2011
188,Devin Brown,HC,29,29.4,2.1,1.5,0.6,0.0,0.0,2011
189,Mark Payne,UCD,27,33.9,5.0,3.6,1.1,0.2,0.2,2011
190,Isaiah Philmore,TU,30,35.7,7.0,1.0,0.9,0.6,0.6,2011
191,Tobias Harris,UT,34,29.2,7.2,1.3,0.7,0.9,0.9,2011
192,Anthony Hill,UWM,32,28.1,6.6,1.4,0.4,0.6,0.6,2011
193,Michael Tveidt,NDSU,29,32.2,3.7,2.2,0.7,0.4,0.4,2011
194,Matthew Bryan-Amaning,UW,35,28.2,8.0,0.7,1.1,1.5,1.5,2011
195,Tony Mitchell,UA,37,31.5,7.1,1.3,1.6,1.1,1.1,2011
196,Shawn Lewis,POLY,30,31.3,5.5,2.2,1.5,0.3,0.3,2011
197,Arsalan Kazemi,RU,32,29.8,11.0,1.3,1.2,0.8,0.8,2011
198,Ramone Moore,TEM,34,33.9,4.2,3.1,1.2,0.2,0.2,2011
199,Rotnei Clarke,U of A,31,31.8,3.0,1.6,0.8,0.0,0.0,2011
200,Michael Harper,CSU,28,30.5,3.6,1.3,1.6,0.3,0.3,2011
201,Justin Robinson,RU,34,33.6,2.9,3.8,1.0,0.1,0.1,2011
202,David Hanson,POLY,30,35.3,6.1,1.8,1.0,0.3,0.3,2011
203,Clint Sargent,SDSU,31,32.2,3.2,1.4,0.5,0.1,0.1,2011
204,Aaric Murray,LU,32,28.1,7.7,1.3,1.0,2.2,2.2,2011
205,Marcus Jordan,UCF,33,31.5,2.8,3.3,0.8,0.1,0.1,2011
206,Frank Hassell,ODU,34,29.3,9.5,1.1,0.9,1.3,1.3,2011
207,Cam Long,GMU,34,33.0,4.7,2.9,1.4,0.2,0.2,2011
208,DeAndre Kane,MU,34,31.6,5.6,3.4,0.9,0.1,0.1,2011
209,Erik Rush,MSU,31,31.8,4.1,2.8,1.4,0.3,0.3,2011
210,Zach Filzen,UB,34,33.8,2.9,1.1,0.8,0.0,0.0,2011
211,La'Shard Anderson,BSU,35,32.2,3.2,4.7,2.2,0.4,0.4,2011
212,Demond Watt,TAMU-CC,31,33.4,8.9,1.4,1.1,1.3,1.3,2011
213,Darius Morris,UM,35,34.8,4.0,6.7,1.0,0.0,0.0,2011
214,Tony Taylor,GW,31,33.4,3.3,4.6,1.3,0.0,0.0,2011
215,Joe Harden,UCD,28,29.6,5.6,1.6,1.4,0.3,0.3,2011
216,Broderick Gilchrest,ISU,29,35.1,2.4,2.2,1.1,0.1,0.1,2011
217,Brian Qvale,UM,32,30.9,8.8,0.7,0.7,3.0,3.0,2011
218,Corey Stokes,VILL,29,33.0,3.3,1.3,0.9,0.2,0.2,2011
219,Mike Muscala,BU,34,27.8,7.3,1.4,0.4,2.0,2.0,2011
220,Melvin Johnson III,UTSA,34,26.9,3.5,0.6,0.9,0.1,0.1,2011
221,Robby Ptacek,CCSU,31,33.6,3.8,1.6,1.1,0.1,0.1,2011
222,Doug McDermott,CU,39,29.1,7.2,1.2,0.3,0.1,0.1,2011
223,Mike Moore,HOF,33,33.5,5.4,2.2,1.0,0.2,0.2,2011
224,Diego Kapelan,MSU,32,29.1,2.4,1.1,0.7,0.1,0.1,2011
225,Chris Fouch,DREX,31,28.5,3.4,1.2,0.5,0.2,0.2,2011
226,Mike Scott,FDU,29,37.2,5.2,4.4,1.6,0.2,0.2,2011
227,Bobby Howard,MSU,31,32.0,7.2,1.7,0.9,0.3,0.3,2011
228,Frank Gaines,IPFW,30,27.4,6.2,0.8,0.9,0.7,0.7,2011
229,Trent Hutchin,SELU,29,29.3,1.4,0.9,0.4,0.1,0.1,2011
230,Louie Krogman,USD,33,31.6,3.5,2.3,0.8,0.0,0.0,2011
231,Julian Mavunga,MU,32,36.3,8.2,3.0,0.6,0.5,0.5,2011
232,Malcolm Grant,UM,36,32.4,1.8,3.2,0.9,0.0,0.0,2011
233,Sam Willard,PAC,31,33.2,10.5,1.6,0.6,0.7,0.7,2011
234,Keith Wright,HAR,30,32.3,8.3,1.5,0.8,1.8,1.8,2011
235,Alex Francis,BU,30,30.9,7.9,0.8,0.9,0.5,0.5,2011
236,Tai Wesley,USU,34,29.2,8.0,2.1,0.8,1.1,1.1,2011
